kd_obat,product_type,price_tier,total_revenue,total_gross_margin,avg_margin_pct,transaction_lines,unique_transactions
AI-0618,Generic,Premium,1740193497.0,474598225.0,37.499999841967046,71,71
AI-0165,Generic,Premium,700495766.0899999,185991416.09,36.51064056028356,141,141
AI-0190,Generic,Mid,652803605.8199999,9191151.01,36.09109995098399,8509,8496
AI-0958,Generic,Mid,384275316.65000004,2881836.2599999895,35.06220727344036,3935,3930
AI-1325,Generic,Premium,336258282.12,86642342.12,34.72463835226403,69,69
AI-0982,Generic,Premium,290644725.86999995,24573792.20499999,33.648413300528205,791,788
AI-0164,Generic,Premium,287253599.70500004,50458704.79,36.45113029730601,133,133
AI-0098,Generic,High,276947674.2,2589332.24,37.35751350704891,193,193
AI-1187,Generic,Mid,241605973.36499986,21851594.514999993,36.51793602591138,12176,12164
AI-0634,Generic,Premium,224012307.75,43407250.65,30.758830963426295,173,173
AI-1311,Generic,Premium,202945003.76000014,47089376.65999994,32.688535928707616,873,869
AI-0189,Generic,Mid,174184929.075,2391630.6749999966,35.662105428785935,1310,1308
R-2340,Branded,Premium,173295559.57999998,20872824.29,35.50297619047619,336,336
R-2754,Branded,High,167466393.82144007,2855954.9713999936,77.17899781842031,1041,1041
AI-0031,Generic,Premium,166765640.0,36952229.0,34.47712965305878,131,131
AI-0110,Generic,High,162270373.45999998,12822386.43,32.4232037677864,4610,4597
AI-0812,Generic,Premium,156837296.72500008,19507617.749999985,32.655294801926,564,564
AI-0484,Generic,High,155261542.75,1456343.75,35.749939963302225,132,132
AI-0406,Generic,Mid,148531250.415,880062.0950000031,35.14630321478266,3030,3029
AI-1324,Generic,Premium,137048471.845,24927895.72,34.72464057907188,69,69
R-0720,Branded,Premium,129952350.0,13978150.0,35.455128205128204,234,234
AI-0539,Generic,High,128932734.89999999,12531782.645,34.094679082899646,727,727
AI-0188,Generic,Mid,123804645.0,2098815.0,34.27756001959823,2041,2035
AI-0973,Generic,Mid,123188263.74000001,670502.6699999969,29.247869561018053,914,909
AI-1570,Generic,Mid,120453232.94999999,1178878.0000000002,35.22740312208624,944,940
AI-0821,Generic,Premium,118677025.5,32366461.5,37.5,6,6
AI-0120,Generic,Mid,114411616.60500002,1168172.069999999,25.658199312336937,1384,1380
AI-1338,Generic,Premium,112678818.91500005,27957096.914999984,33.16312916620873,550,549
AI-0609,Generic,High,111481480.25,1308258.4500000004,36.136167253739345,479,477
AI-0789,Generic,Premium,111324594.07,19032810.22,32.821604454583714,558,556
R-0753,Branded,Premium,106721922.4,5860989.100000001,28.378036530604543,41,41
AI-0772,Generic,Premium,106518455.755,17354241.455000002,32.7284275049055,548,546
R-0701,Branded,Premium,101227576.0,18997576.0,23.809906160750714,43,43
R-3070,Branded,Mid,99720860.38,272851.63499999995,28.80971605415371,174,173
AI-0903,Generic,High,99391601.58000007,24734787.82999995,34.61764374292604,3412,3407
