kd_obat,product_type,revenue,total_qty,avg_margin_pct,transaction_count
R-2001,Branded,5320815.04,1019.0,31.777323512698104,173
R-2446,Branded,139595.46,89.0,32.511001100110015,11
R-0601,Branded,804212.1474999998,7770.25,34.14475144317719,1600
R-0539,Branded,6621301.6,360.0,25.603853383458652,16
AI-1525,Generic,7144550.0,551.0,29.630909090909093,550
R-3197,Branded,790101.375,113.0,36.399820555658685,15
R-1071,Branded,5117118.0,298.0,36.9487199936199,10
AI-1090,Generic,36059.195,340.0,30.888888888888886,17
AI-0032,Generic,74847.45,209.0,32.32029082029082,33
R-1232,Branded,549670.0,44.0,37.5,6
AI-1319,Generic,3906919.8,5.0,19.793528097895244,5
R-1776,Branded,629999.625,38.0,27.531381946821867,3
AI-0544,Generic,27498460.0,11.0,37.5,11
R-4650,Branded,117000.0,1.0,32.000541540683244,1
R-2659,Branded,3298991.0,188.0,32.23041979949875,24
AI-0248,Generic,256204.5,18.5,31.2375350140056,17
R-3420,Branded,1567646.3499999999,63.89999999999999,36.843894898701315,67
AI-0411,Generic,2012646.725,307.0,30.15026062695969,108
R-1268,Branded,470928.0,87.0,36.273461431356175,9
AI-1581,Generic,2182905.0,1881.0,10.648351068043198,66
R-1581,Branded,336880.2,95.0,36.12021439509954,4
AI-1399,Generic,421126.0,64.0,35.557851239669425,17
AI-0936,Generic,46804.95,15.0,31.671894604767875,3
AI-0207,Generic,17744107.92,286.0,21.57814562867993,12
R-4668,Branded,601265.25,18.0,34.75000000000001,6
AI-1294,Generic,1081343.325,222.0,34.650479692839475,112
AI-1203,Generic,7060754.85,111.0,29.318381820964465,11
R-2426,Branded,54120.0,1.0,32.0,1
R-0756,Branded,7402.5,46.8,35.30890804597701,12
R-0700,Branded,12100826.16,46.0,33.9338321981741,45
R-4606,Branded,39886.0,2.0,37.5,2
AI-1079,Generic,2949838.0,11352.0,36.246415322686744,199
AI-0763,Generic,26353121.895000007,11051.0,34.379865502266505,1209
AI-1537,Generic,4025727.7249999996,3783.5,32.23460127412589,371
R-5265,Branded,16000.0,1.0,10.003437607425232,1
R-1948,Branded,996904.0,116.0,37.504000000000005,30
R-4652,Branded,294459.16000000003,7.0,27.28564208845438,7
R-0357,Branded,4483820.0,19.0,32.916666666666664,6
AI-0665,Generic,95700.0,15.0,20.993741703015363,1
R-4911,Branded,224664.0,60.0,24.66666666666666,3
AI-0826,Generic,2854007.275,1264.0,33.85685551458261,95
R-0026,Branded,119332.8,49.0,20.491071428571423,2
R-2428,Branded,3183391.5,322.0,36.65391430415245,176
R-1099,Branded,1320690.0,9.0,37.50030727630285,8
R-5109,Branded,116556.0,3532.0,10.0,355
